Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,35 to 44,219,191,130,59.3,6.7,68.1,6.8,79,35.9,6.5,41.3,7.1,
,45 to 64,457,438,322,70.4,4.3,73.6,4.2,232,50.8,4.7,53.1,4.8,
,65+,278,275,221,79.5,4.9,80.6,4.8,174,62.6,5.8,63.4,5.8,
NEVADA,Total,"2,128","1,858","1,088",51.1,2.6,58.5,2.7,693,32.6,2.4,37.3,2.7,
,18 to 24,245,233,98,39.9,7.5,41.8,7.7,42,17.3,5.8,18.1,6.0,
,25 to 34,388,332,163,42.1,6.0,49.1,6.5,89,23.0,5.1,26.8,5.8,
,35 to 44,379,310,176,46.4,6.1,56.7,6.7,91,23.9,5.2,29.3,6.2,
,45 to 64,718,606,370,51.5,4.4,61.1,4.7,248,34.6,4.2,41.0,4.8,
,65+,399,377,281,70.5,5.4,74.6,5.3,223,55.8,5.9,59.0,6.0,
NEW HAMPSHIRE,Total,"1,047","1,015",694,66.3,2.4,68.3,2.4,509,48.6,2.6,50.2,2.6,
,18 to 24,113,113,53,46.7,7.8,46.7,7.8,21,19.0,6.1,19.0,6.1,
,25 to 34,164,151,77,47.0,6.5,51.3,6.8,40,24.4,5.6,26.6,6.0,
,35 to 44,159,155,106,66.8,6.2,68.4,6.2,77,48.3,6.6,49.5,6.7,
,45 to 64,398,387,290,72.8,3.7,74.9,3.7,225,56.5,4.1,58.2,4.2,
,65+,213,210,168,78.9,4.6,80.1,4.6,146,68.7,5.3,69.7,5.3,
NEW JERSEY,Total,"6,820","5,909","3,919",57.5,1.8,66.3,1.9,"2,151",31.5,1.7,36.4,1.9,
,18 to 24,772,698,328,42.5,5.4,47.0,5.7,100,12.9,3.6,14.3,4.0,
,25 to 34,"1,139",877,485,42.6,4.4,55.3,5.1,160,14.0,3.1,18.3,3.9,
,35 to 44,"1,124",860,591,52.5,4.5,68.7,4.8,263,23.4,3.8,30.5,4.7,
,45 to 64,"2,427","2,181","1,576",65.0,2.9,72.3,2.9,963,39.7,3.0,44.2,3.2,
,65+,"1,358","1,292",940,69.2,3.8,72.7,3.7,666,49.0,4.1,51.5,4.2,
NEW MEXICO,Total,"1,536","1,417",919,59.9,2.3,64.9,2.4,646,42.1,2.3,45.6,2.5,
,18 to 24,196,184,50,25.7,5.8,27.3,6.1,23,11.6,4.3,12.3,4.5,
,25 to 34,268,243,125,46.9,5.7,51.6,6.0,63,23.7,4.8,26.1,5.2,
,35 to 44,230,195,136,59.0,6.0,69.4,6.1,80,34.7,5.8,40.8,6.5,
,45 to 64,504,470,350,69.4,3.8,74.4,3.7,264,52.4,4.1,56.2,4.3,
,65+,338,323,258,76.4,4.3,79.8,4.2,216,63.8,4.9,66.7,4.9,
NEW YORK,Total,"15,274","13,611","8,078",52.9,1.2,59.4,1.3,"4,680",30.6,1.1,34.4,1.2,
,18 to 24,"1,959","1,738",733,37.4,3.3,42.2,3.6,258,13.2,2.3,14.9,2.6,
,25 to 34,"2,882","2,444","1,213",42.1,2.8,49.6,3.1,509,17.7,2.2,20.8,2.5,
,35 to 44,"2,310","1,946","1,195",51.7,3.2,61.4,3.4,602,26.1,2.8,30.9,3.2,
,45 to 64,"5,153","4,653","2,948",57.2,2.1,63.3,2.2,"1,899",36.9,2.1,40.8,2.2,
,65+,"2,971","2,830","1,989",66.9,2.6,70.3,2.6,"1,411",47.5,2.8,49.9,2.9,
NORTH CAROLINA,Total,"7,412","6,857","4,779",64.5,1.7,69.7,1.7,"3,170",42.8,1.8,46.2,1.8,
,18 to 24,"1,092","1,008",451,41.3,4.5,44.7,4.8,235,21.6,3.8,23.4,4.1,
,25 to 34,"1,199","1,037",669,55.8,4.4,64.5,4.5,347,28.9,4.0,33.5,4.5,
,35 to 44,"1,091",937,657,60.2,4.5,70.2,4.6,404,37.1,4.5,43.2,4.9,
,45 to 64,"2,582","2,452","1,869",72.4,2.7,76.2,2.6,"1,262",48.9,3.0,51.5,3.1,
,65+,"1,448","1,424","1,132",78.2,3.3,79.5,3.3,921,63.6,3.9,64.7,3.9,
NORTH DAKOTA,Total,567,547,363,64.1,2.4,66.4,2.4,279,49.2,2.5,51.0,2.5,
,18 to 24,82,77,36,43.5,6.5,46.4,6.8,21,25.1,5.7,26.7,6.0,
,25 to 34,121,114,68,56.2,5.4,59.4,5.5,45,37.2,5.2,39.4,5.4,
