"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
NEW JERSEY,Total,"7,009","6,267","4,297",61.3,1.9,68.6,1.9,"3,384",48.3,2.0,54.0,2.1,
,18 to 24,811,738,350,43.1,5.7,47.4,6.1,237,29.2,5.3,32.1,5.7,
,25 to 34,"1,235","1,030",670,54.2,4.7,65.0,4.9,435,35.2,4.5,42.2,5.1,
,35 to 44,"1,076",882,661,61.4,4.9,74.9,4.8,548,50.9,5.0,62.0,5.4,
,45 to 64,"2,361","2,177","1,573",66.6,3.2,72.3,3.2,"1,297",55.0,3.4,59.6,3.5,
,65+,"1,526","1,440","1,043",68.4,3.9,72.5,3.9,868,56.8,4.2,60.3,4.3,
NEW MEXICO,Total,"1,576","1,485",916,58.1,2.5,61.7,2.6,715,45.3,2.6,48.1,2.6,
,18 to 24,184,180,80,43.6,7.5,44.5,7.6,50,27.4,6.7,28.0,6.8,
,25 to 34,284,261,148,52.2,6.0,56.9,6.3,97,34.1,5.7,37.2,6.1,
,35 to 44,236,219,121,51.2,6.6,55.0,6.9,81,34.4,6.3,37.0,6.7,
,45 to 64,528,489,311,59.0,4.4,63.7,4.4,263,49.8,4.4,53.7,4.6,
,65+,345,336,255,74.0,4.8,75.9,4.8,224,64.8,5.2,66.5,5.3,
NEW YORK,Total,"15,478","13,684","8,553",55.3,1.3,62.5,1.4,"6,775",43.8,1.3,49.5,1.4,
,18 to 24,"1,762","1,518",734,41.7,3.9,48.4,4.3,505,28.6,3.6,33.3,4.1,
,25 to 34,"2,962","2,483","1,302",44.0,3.1,52.4,3.4,958,32.4,2.9,38.6,3.3,
,35 to 44,"2,421","2,005","1,301",53.8,3.4,64.9,3.6,"1,005",41.5,3.4,50.1,3.7,
,45 to 64,"4,936","4,437","2,918",59.1,2.3,65.8,2.4,"2,341",47.4,2.4,52.8,2.5,
,65+,"3,396","3,241","2,297",67.6,2.7,70.9,2.7,"1,965",57.9,2.8,60.6,2.9,
NORTH CAROLINA,Total,"7,911","7,444","5,160",65.2,1.8,69.3,1.8,"3,899",49.3,1.9,52.4,1.9,
,18 to 24,"1,002",955,468,46.7,5.3,49.0,5.4,302,30.1,4.8,31.6,5.0,
,25 to 34,"1,329","1,169",769,57.8,4.5,65.7,4.6,447,33.6,4.3,38.2,4.7,
,35 to 44,"1,200","1,071",710,59.1,4.7,66.2,4.8,526,43.9,4.8,49.1,5.1,
,45 to 64,"2,742","2,630","1,905",69.5,2.9,72.4,2.9,"1,555",56.7,3.2,59.1,3.2,
