"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"270","TEXAS","45 to 64",5681,4061,61.9,71.5,3223,49.1,56.7,"2018"
"271","TEXAS","65+",3448,2627,70.1,76.2,2259,60.3,65.5,"2018"
"272","UTAH","Total",2109,1443,64.2,68.4,1214,54,57.6,"2018"
"273","UTAH","18 to 24",305,142,44,46.6,107,33.1,35.1,"2018"
"274","UTAH","25 to 34",423,248,52,58.5,181,37.9,42.6,"2018"
"275","UTAH","35 to 44",439,315,66.8,71.8,263,55.8,59.9,"2018"
"276","UTAH","45 to 64",581,456,75.3,78.5,399,65.8,68.6,"2018"
"277","UTAH","65+",361,282,76.3,78.2,265,71.8,73.5,"2018"
"278","VERMONT","Total",497,343,68.1,69,273,54.2,54.9,"2018"
"279","VERMONT","18 to 24",45,22,NA,NA,16,NA,NA,"2018"
"280","VERMONT","25 to 34",84,50,57.8,59,34,39.6,40.4,"2018"
"281","VERMONT","35 to 44",75,47,60.9,62.2,37,48.7,49.7,"2018"
"282","VERMONT","45 to 64",163,121,73.5,74.1,98,59.5,60,"2018"
"283","VERMONT","65+",129,104,80,80.8,88,67.5,68.2,"2018"
"284","VIRGINIA","Total",5773,4159,65.1,72,3319,52,57.5,"2018"
"285","VIRGINIA","18 to 24",558,313,50.6,56.1,221,35.8,39.7,"2018"
"286","VIRGINIA","25 to 34",1023,674,56.6,65.9,514,43.1,50.2,"2018"
"287","VIRGINIA","35 to 44",874,605,56.9,69.2,411,38.6,47,"2018"
"288","VIRGINIA","45 to 64",2070,1539,69.2,74.3,1298,58.4,62.7,"2018"
"289","VIRGINIA","65+",1249,1029,79.7,82.4,875,67.8,70.1,"2018"
"290","WASHINGTON","Total",5228,3852,66.7,73.7,3234,56,61.9,"2018"
"291","WASHINGTON","18 to 24",577,315,50.4,54.5,201,32.2,34.8,"2018"
"292","WASHINGTON","25 to 34",914,637,59.7,69.7,455,42.6,49.8,"2018"
"293","WASHINGTON","35 to 44",897,672,65,74.8,591,57.1,65.8,"2018"
"294","WASHINGTON","45 to 64",1798,1365,69.2,75.9,1185,60.1,65.9,"2018"
"295","WASHINGTON","65+",1041,864,80.1,83,802,74.3,77,"2018"
"296","WEST VIRGINIA","Total",1384,892,63.4,64.5,610,43.4,44.1,"2018"
"297","WEST VIRGINIA","18 to 24",159,79,47,49.8,36,21.3,22.6,"2018"
"298","WEST VIRGINIA","25 to 34",194,98,48.7,50.6,50,24.8,25.8,"2018"
